SUB_TYPE,APPLICANT_ORGANIZATION,IN_DATE,ISSUE_DATE
Concrete Pouring,,12/20/2021,12/28/2021
Concrete Pouring,DPR Construction,10/1/2024,10/1/2024
Concrete Pouring,Keystone Concrete Placement,6/5/2024,6/5/2024
Advertising Sound Amplification,John Brown,3/1/2011,3/22/2011
Outdoor Music Venue,Austin Java Holdings LLC,1/25/2013,3/4/2013
Private Sound Amplification,NICOLE L. C. BLAIR,2/23/2012,3/8/2012
Concrete Pouring,Keystone Concrete Placement,10/11/2023,10/11/2023
Advertising Sound Amplification,Silverton Partners,9/29/2015,10/22/2015
Outdoor Music Venue,,1/15/2015,2/12/2015
Outdoor Music Venue,"Freddy's On South First, Ltd",6/25/2010,8/10/2010
Outdoor Music Venue,"Weird Times, LLC",7/11/2012,
Advertising Sound Amplification,Transmission Events,10/15/2015,10/23/2015
Concrete Pouring,JE Dunn Construction,2/21/2022,2/21/2022
Private Sound Amplification,"C3 Presents, LLC",2/24/2010,
Concrete Pouring,"Balfour Beatty Construction, LLC",11/14/2014,11/14/2014
Outdoor Music Venue,"Freddy's On South First, Ltd",6/6/2014,7/7/2014
Concrete Pouring,DPR Construction,10/22/2020,10/22/2020
Concrete Pouring,DPR Construction,10/24/2022,10/24/2022
Concrete Pouring,Largo Concrete,1/10/2022,1/11/2022
Concrete Pouring,Capform Inc,5/5/2014,5/5/2014
Advertising Sound Amplification,Wild Sky Events,7/1/2015,7/2/2015
Government Amplified Sound,San Jose Catholic Church,9/9/2015,9/22/2015
Outdoor Music Venue,Hotel Vegas,5/21/2021,7/1/2021
Concrete Pouring,Beck Commercial Construction LLC,8/8/2016,8/8/2016
Outdoor Music Venue,Sammie's Italian LLC,1/22/2024,2/20/2024
Concrete Pouring,JE Dunn Construction,4/22/2015,4/22/2015
Outdoor Music Venue,The Parlor Room,4/11/2018,5/14/2018
Advertising Sound Amplification,Sackman Enterprises,2/18/2016,3/14/2016
Concrete Pouring,DPR Construction,8/1/2023,8/1/2023
Outdoor Music Venue,,1/16/2025,
Outdoor Music Venue,Shangri-La,1/17/2017,3/3/2017
Outdoor Music Venue,,11/6/2015,12/10/2015
Advertising Sound Amplification,Media Mechanics Inc.,2/14/2011,2/14/2011
Outdoor Music Venue,"SJMC Concepts, LLC.",1/13/2017,2/22/2017
Concrete Pouring,DPR Construction,7/29/2020,7/29/2020
Advertising Sound Amplification,Tiniest Bar In Texas,7/22/2014,7/24/2014
Advertising Sound Amplification,Delta Millworks Inc,3/30/2016,4/4/2016
Outdoor Music Venue,The Electric Company,2/14/2017,3/9/2017
Concrete Pouring,McClone Construction Company,6/23/2021,6/23/2021
Concrete Pouring,Gilbane,11/30/2017,12/1/2017
Concrete Pouring,"Greystar Development & Construction, LP",8/11/2022,8/12/2022
Moving Vehicle,,8/22/2014,8/22/2014
Concrete Pouring,Baker Concrete Construction,7/11/2022,7/11/2022
Concrete Pouring,JE Dunn Construction,8/13/2015,8/13/2015
Concrete Pouring,"United Forming, Inc.",10/3/2016,10/3/2016
Outdoor Music Venue,Mohawk,2/17/2023,3/8/2023
Advertising Sound Amplification,Casa Chapala Mexican Grill & Tequila Bar,2/9/2012,
Concrete Pouring,DPR Construction,1/12/2023,1/12/2023
Concrete Pouring,"Greystar Development & Construction, LP",7/13/2022,7/13/2022
Advertising Sound Amplification,Top Notch Burgers,2/11/2013,2/21/2013
Concrete Pouring,DPR Construction,5/28/2019,5/28/2019
Concrete Pouring,DPR Construction,2/12/2020,2/13/2020
Outdoor Music Venue,FBR Management,1/16/2025,
Outdoor Music Venue,THE DOWNTOWN AUSTIN GROUP,3/2/2011,4/22/2011
Concrete Pouring,Largo Concrete,9/30/2020,10/1/2020
Concrete Pouring,JE Dunn,3/15/2024,3/15/2024
Outdoor Music Venue,,11/1/2016,12/20/2016
Concrete Pouring,Ryan Companies US INC,6/16/2020,6/16/2020
Advertising Sound Amplification,National Media Services Inc,3/4/2015,3/6/2015
Outdoor Music Venue,411 First Floor Inc,10/28/2015,12/1/2015
Outdoor Music Venue,Hangar Lounge,1/13/2016,2/16/2016
Concrete Pouring,Gilbane,2/14/2017,2/14/2017
Advertising Sound Amplification,Jo's Coffee,1/16/2013,1/17/2013
Outdoor Music Venue,THE BLACKHEART,3/29/2012,4/12/2012
Concrete Pouring,DPR Construction,3/11/2021,3/11/2021
Concrete Pouring,"Greystar Development & Construction, LP",4/27/2022,4/27/2022
Moving Vehicle,,8/22/2014,8/22/2014
Outdoor Music Venue,Recess Arcade Bar LLC,11/9/2017,12/12/2017
Concrete Pouring,W Hotels,1/11/2010,1/11/2010
Concrete Pouring,Ryan Companies US INC,4/2/2019,4/2/2019
Advertising Sound Amplification,,2/10/2015,2/12/2015
Outdoor Music Venue,,9/11/2018,11/5/2018
Private Sound Amplification,Liberty ATX LLC,6/26/2017,6/26/2017
Outdoor Music Venue,Vulcan Gas Company,6/28/2022,9/8/2022
Advertising Sound Amplification,Yum Yum Frozen Yogurt  LLC.,7/1/2010,7/1/2010
Concrete Pouring,Ryan Companies US INC,5/28/2020,5/28/2020
Concrete Pouring,DPR Construction,9/5/2023,9/5/2023
Advertising Sound Amplification,Duty Now For The Future,2/10/2017,3/7/2017
Concrete Pouring,Ryan Companies US INC,2/24/2020,2/24/2020
Concrete Pouring,Capform Inc,4/5/2024,4/5/2024
Concrete Pouring,DPR Construction,1/23/2018,1/23/2018
Concrete Pouring,Austin Commercial,4/7/2017,4/7/2017
Concrete Pouring,DPR Construction,4/21/2014,4/21/2014
Concrete Pouring,DPR Construction,12/22/2020,12/22/2020
Concrete Pouring,Spawglass Contractors Inc,7/18/2023,7/18/2023
Concrete Pouring,Spawglass Contractors Inc,1/13/2023,1/13/2023
Outdoor Music Venue,,2/2/2018,3/12/2018
Outdoor Music Venue,Gypsy Lounge,8/6/2013,9/24/2013
Advertising Sound Amplification,Rally Marketing Group,5/29/2013,6/13/2013
Concrete Pouring,Gilbane,7/11/2017,7/11/2017
Outdoor Music Venue,Bangers Austin LP,12/9/2022,1/11/2023
Advertising Sound Amplification,Austin Social Affair LLC,10/28/2015,
Advertising Sound Amplification,Jo's Coffee,2/25/2013,4/4/2013
Outdoor Music Venue,THE DOGWOOD,1/31/2012,3/5/2012
Private Sound Amplification,,6/1/2018,6/1/2018
Advertising Sound Amplification,TEST Bar Group LLC,2/6/2014,3/5/2014
Outdoor Music Venue,"Downtown Jo's, L.P.",1/13/2011,4/27/2011
Moving Vehicle,,8/22/2014,8/22/2014
Advertising Sound Amplification,GayBiGayGay,3/5/2014,3/12/2014
Concrete Pouring,DPR Construction,8/7/2023,8/7/2023
Outdoor Music Venue,Pouring With Heart,4/16/2021,5/14/2021
Advertising Sound Amplification,TROIS   INC,2/22/2010,3/16/2010
Concrete Pouring,Capform Inc,6/28/2023,6/28/2023
Concrete Pouring,"Capform, Inc",4/9/2014,4/9/2014
Public Sound Amplification,Catellus Development Corporation,10/7/2010,10/7/2010
Advertising Sound Amplification,Zilker Brewing Company,9/30/2016,
Concrete Pouring,JE Dunn Construction,3/7/2024,3/7/2024
Concrete Pouring,Burt-Watts,4/25/2014,4/25/2014
Concrete Pouring,Spawglass Contractors Inc,1/17/2023,1/18/2023
Advertising Sound Amplification,Great Hills Cntry Clb,3/24/2014,3/26/2014
Government Amplified Sound,Austin Restoration Ministry,4/30/2012,4/30/2012
Advertising Sound Amplification,Top Notch Burgers,5/17/2013,5/20/2013
Concrete Pouring,DPR Construction,2/12/2024,2/12/2024
Outdoor Music Venue,The Porch at Austin City Limits Live,8/15/2012,10/30/2012
Advertising Sound Amplification,High Beams Events,3/10/2015,3/11/2015
Concrete Pouring,Largo Concrete,9/3/2013,9/3/2013
Concrete Pouring,"United Forming, Inc.",8/9/2016,8/9/2016
Outdoor Music Venue,Lustre Pearl,8/2/2011,9/14/2011
Concrete Pouring,Largo Concrete,3/11/2020,3/11/2020
Outdoor Music Venue,Allan-Thrasher LLC,9/20/2019,11/7/2019
Concrete Pouring,,2/7/2022,2/7/2022
Concrete Pouring,TAS Commercial Concrete Construction LLC,3/31/2021,3/31/2021
Advertising Sound Amplification,The Campus Agency,10/20/2015,10/23/2015
Private Sound Amplification,,4/25/2014,5/2/2014
Concrete Pouring,JE Dunn Construction,6/11/2015,6/11/2015
Concrete Pouring,DPR Construction,12/7/2018,12/7/2018
Advertising Sound Amplification,"THE VISIONARY GROUP, LLC",4/26/2012,4/26/2012
Moving Vehicle,,10/24/2014,10/24/2014
Concrete Pouring,Beck Commercial Construction LLC,9/22/2015,9/22/2015
Public Sound Amplification,Catellus Development Corporation,10/7/2010,10/7/2010
Concrete Pouring,Largo Concrete,10/31/2013,10/31/2013
Concrete Pouring,Gilbane,6/30/2017,6/30/2017
Concrete Pouring,DPR Construction,10/13/2023,10/13/2023
Public Sound Amplification,,1/25/2019,1/25/2019
Advertising Sound Amplification,BABY BLUE STUDIO,1/31/2012,
Outdoor Music Venue,Pop,8/7/2023,10/17/2023
Government Amplified Sound,texas music museum,4/23/2010,4/23/2010
Concrete Pouring,DPR Construction,4/22/2024,4/22/2024
Concrete Pouring,Ryan Companies US INC,7/20/2020,7/20/2020
Advertising Sound Amplification,Mellow Johnny's Bike Shop,2/25/2015,3/17/2015
Outdoor Music Venue,Zed's Restaurant LP,1/10/2011,2/22/2011
Concrete Pouring,The Beck Group,12/21/2021,12/22/2021
Advertising Sound Amplification,Tequila Mockingbird,3/14/2017,3/14/2017
Outdoor Music Venue,"C3 Presents, LLC",6/27/2019,
Outdoor Music Venue,,1/2/2018,3/8/2018
Concrete Pouring,Austin Commercial,3/8/2018,3/8/2018
Concrete Pouring,Keystone Concrete Placement,7/31/2023,7/31/2023
Concrete Pouring,Beck Commercial Construction LLC,11/4/2015,11/4/2015
Advertising Sound Amplification,High Beams Events,3/3/2015,
Concrete Pouring,DPR Construction,2/25/2020,2/25/2020
Concrete Pouring,Harvey-Cleary,8/12/2022,8/17/2022
Concrete Pouring,JE Dunn Construction,11/23/2015,11/23/2015
Government Amplified Sound,,11/12/2014,12/5/2014
Concrete Pouring,"Greystar Development & Construction, LP",6/15/2022,6/15/2022
Concrete Pouring,Holder Construction Company,9/26/2019,9/26/2019
Private Sound Amplification,CELTIC CULTURAL CENTER OF TEXAS,3/7/2018,3/7/2018
Advertising Sound Amplification,,5/24/2016,5/25/2016
Concrete Pouring,RSI Concrete,2/1/2022,2/1/2022
Concrete Pouring,Keystone Concrete Placement,4/12/2023,4/13/2023
Concrete Pouring,Capform Inc,10/11/2017,
Concrete Pouring,DPR Construction,2/20/2024,2/20/2024
Concrete Pouring,The Beck Group,4/28/2022,
Concrete Pouring,"Balfour Beatty Construction, LLC",6/3/2014,6/3/2014
Outdoor Music Venue,"Fado Beverage Company, Inc. dba Fado Irish Pub",5/8/2012,6/26/2012
Concrete Pouring,"United Forming, Inc.",6/6/2016,6/6/2016
Concrete Pouring,Spawglass Contractors Inc,6/13/2023,6/13/2023
Concrete Pouring,Beck Commercial Construction LLC,9/30/2016,9/30/2016
Outdoor Music Venue,West Guys LLC,4/11/2017,8/30/2017
Advertising Sound Amplification,,9/27/2016,
Private Sound Amplification,Austin Baptist Church,4/12/2018,4/12/2018
Concrete Pouring,Capform Inc,6/13/2013,6/13/2013
Outdoor Music Venue,,2/28/2020,10/29/2020
Outdoor Music Venue,THE DOGWOOD,6/20/2023,7/25/2023
Outdoor Music Venue,Maggie Mae's,2/8/2016,3/11/2016
Outdoor Music Venue,EGLI ENTERPRISES LLC,6/25/2014,7/18/2014
Outdoor Music Venue,The Contemporary Austin,5/22/2014,8/29/2014
Concrete Pouring,DPR Construction,12/19/2013,12/19/2013
Concrete Pouring,DPR Construction,12/18/2017,12/18/2017
Concrete Pouring,,7/21/2015,7/21/2015
Outdoor Music Venue,Electric Shuffle USA,3/4/2024,5/18/2024
Concrete Pouring,Flintco,9/11/2019,9/11/2019
Advertising Sound Amplification,,8/3/2016,8/9/2016
Outdoor Music Venue,Mueller Browning Hangar/Lake Park,8/16/2017,9/13/2017
Concrete Pouring,"Greystar Development & Construction, LP",6/30/2022,6/30/2022
Outdoor Music Venue,,1/24/2018,3/14/2018
Concrete Pouring,DPR Construction,9/5/2017,9/5/2017
Advertising Sound Amplification,Takoba LLC,9/14/2011,9/14/2011
Concrete Pouring,JE Dunn Construction,5/29/2020,5/29/2020
Concrete Pouring,Keystone Concrete Placement,3/5/2021,3/5/2021
Outdoor Music Venue,,3/4/2021,4/2/2021
Concrete Pouring,Rogers Obrien Const Co,12/2/2019,12/2/2019
Private Sound Amplification,Frontera Security And Investigation,4/21/2011,4/21/2011
Concrete Pouring,W Hotels,5/29/2009,6/2/2009
Outdoor Music Venue,Lanai,11/25/2014,12/16/2014
Concrete Pouring,Capform Inc,2/28/2023,2/28/2023
Advertising Sound Amplification,VICE Media Inc,3/4/2014,3/10/2014
Outdoor Music Venue,Afshin Inc,1/31/2012,3/5/2012
Concrete Pouring,Ryan Companies US INC,3/4/2019,
Concrete Pouring,DPR Construction,7/9/2019,7/9/2019
Concrete Pouring,TAS Commercial Concrete Construction LLC,5/6/2021,5/15/2021
Outdoor Music Venue,,1/30/2015,1/21/2016
Concrete Pouring,JE DUNN Construction,11/25/2019,11/25/2019
Concrete Pouring,JE Dunn Construction,6/28/2024,7/1/2024
Concrete Pouring,JE Dunn,10/20/2023,
Concrete Pouring,Largo Concrete,3/26/2023,3/27/2023
Advertising Sound Amplification,South Congress Athletic Club,1/28/2010,1/28/2010
Advertising Sound Amplification,Vans,3/3/2014,3/11/2014
Public Sound Amplification,Earth Day Texas Austin,4/12/2017,4/12/2017
Advertising Sound Amplification,Michelle Anthony,3/14/2011,3/22/2011
Outdoor Music Venue,,12/1/2017,1/31/2018
Concrete Pouring,DPR Construction,12/5/2017,12/5/2017
Outdoor Music Venue,Opal Divine's Penn Field,2/23/2015,3/13/2015
Concrete Pouring,Spawglass Contractors Inc,5/9/2023,5/9/2023
Outdoor Music Venue,Sixth Red River LC,2/4/2016,3/14/2016
Outdoor Music Venue,,2/17/2022,3/7/2022
Advertising Sound Amplification,Top Notch Hamburgers,4/24/2014,5/2/2014
Private Sound Amplification,Westwood Country Club,6/22/2015,6/25/2015
Outdoor Music Venue,,7/21/2021,9/24/2021
Outdoor Music Venue,,2/28/2014,5/13/2014
Outdoor Music Venue,,2/23/2017,3/14/2017
Concrete Pouring,JE Dunn Construction,7/1/2015,7/1/2015
Concrete Pouring,McClone Construction Company,7/16/2021,7/16/2021
Concrete Pouring,"STI, LLC",9/5/2014,9/5/2014
Concrete Pouring,Hensel Phelps Construction,9/25/2020,9/25/2020
Advertising Sound Amplification,BAR NINETY SIX AUSTIN LLC,3/2/2011,3/14/2011
Advertising Sound Amplification,"FAMSA, INC.",4/14/2011,4/14/2011
Concrete Pouring,W Hotels,5/29/2009,6/2/2009
Concrete Pouring,DPR Construction,3/8/2024,3/8/2024
Concrete Pouring,Keystone Concrete Placement,9/24/2020,9/24/2020
Concrete Pouring,"Capform, Inc",12/9/2013,12/9/2013
Concrete Pouring,JE DUNN Construction,12/10/2019,12/10/2019
Advertising Sound Amplification,Phillmarc Rood LLC DBA Cedar Door,2/19/2010,3/16/2010
Outdoor Music Venue,"Uncle Billy's Taproom, LLC",7/23/2018,8/28/2018
Outdoor Music Venue,Elm Resturant Group,1/30/2014,3/3/2014
Outdoor Music Venue,,4/25/2014,
Advertising Sound Amplification,JW Marriott Austin,4/23/2015,5/6/2015
Concrete Pouring,DPR Construction,5/7/2014,5/7/2014
Concrete Pouring,JE Dunn Construction,4/2/2024,4/2/2024
Advertising Sound Amplification,Waterloo Records & Video Inc,12/21/2015,2/24/2016
Concrete Pouring,DPR Construction,3/22/2023,3/22/2023
Concrete Pouring,"Balfour Beatty Construction, LLC",8/8/2014,8/8/2014
Outdoor Music Venue,Codependent Cocktails & Coffee,9/12/2024,11/19/2024
Outdoor Music Venue,,4/4/2013,
Advertising Sound Amplification,Juan Pelota's,2/24/2011,3/22/2011
Concrete Pouring,Austin Commercial,6/8/2018,6/8/2018
Concrete Pouring,Capform,10/31/2013,10/31/2013
Concrete Pouring,DPR Construction,6/17/2019,6/17/2019
Concrete Pouring,DPR Construction,8/21/2023,8/21/2023
Concrete Pouring,Baker Concrete Construction,8/2/2022,8/2/2022
Outdoor Music Venue,,2/11/2016,3/9/2016
Private Sound Amplification,,11/8/2017,
Outdoor Music Venue,,7/29/2019,8/16/2019
Concrete Pouring,Gilbane,7/25/2017,7/25/2017
Private Sound Amplification,"NadaMoo R&D Room, LLC",3/8/2019,3/11/2019
Concrete Pouring,Keystone Concrete Placement,3/12/2021,3/12/2021
Advertising Sound Amplification,Holy Vietnamese Martyrs Catholic Church,1/21/2016,
Government Amplified Sound,Solstice Austin/Dart Music International,6/19/2014,6/20/2014
Advertising Sound Amplification,Under The Sun Austin,2/13/2014,3/18/2014
Private Sound Amplification,Blue Starlite Mini-urban Drive-In,6/6/2011,6/6/2011
Advertising Sound Amplification,Media Mechanics Inc.,2/14/2011,2/14/2011
Advertising Sound Amplification,Movember Foundation,9/23/2014,10/10/2014
Concrete Pouring,Hensel Phelps Construction,4/9/2020,
Outdoor Music Venue,,5/7/2021,6/16/2021
Concrete Pouring,DPR Construction,2/4/2019,2/4/2019
Private Sound Amplification,Duty Now For The Future,2/12/2019,
Concrete Pouring,DPR Construction,10/29/2020,11/2/2020
Outdoor Music Venue,Stubbs Austin Restaurant Company LC,12/7/2015,1/22/2016
Concrete Pouring,JE Dunn Construction,3/11/2024,3/11/2024
Concrete Pouring,Flintco,10/9/2019,10/9/2019
Concrete Pouring,Gilbane,9/26/2017,9/26/2017
Concrete Pouring,JE Dunn Construction,5/8/2015,5/8/2015
Concrete Pouring,Holder Construction Company,4/22/2019,4/22/2019
Outdoor Music Venue,,2/2/2018,3/14/2018
Advertising Sound Amplification,Bird's Barbershop,5/11/2016,
Concrete Pouring,TAS Commercial Concrete Construction LLC,7/9/2021,7/9/2021
Outdoor Music Venue,,6/17/2019,9/19/2019
Outdoor Music Venue,,2/10/2015,3/12/2015
Concrete Pouring,Harvey-Cleary,6/26/2023,6/27/2023
Concrete Pouring,Harvey-Cleary,12/12/2023,12/12/2023
Concrete Pouring,DPR Construction,8/22/2018,8/22/2018
Outdoor Music Venue,"612 West 6th, LLC",9/23/2015,10/23/2015
Concrete Pouring,SJL CONST OF TX LTD,2/18/2014,2/18/2014
Concrete Pouring,DPR Construction,11/19/2024,12/2/2024
Concrete Pouring,JE Dunn Construction,4/23/2024,4/23/2024
Concrete Pouring,JE Dunn,12/5/2022,12/5/2022
Outdoor Music Venue,,2/23/2017,3/9/2017
Private Sound Amplification,Nasha Restaurant Inc.,10/31/2017,11/3/2017
Advertising Sound Amplification,Transmission Events,11/30/2015,12/3/2015
Outdoor Music Venue,,9/13/2018,
Outdoor Music Venue,The 311 Club,2/4/2016,2/19/2016
Private Sound Amplification,ATX Sounds,3/6/2012,
Concrete Pouring,Capform,12/13/2013,12/13/2013
Outdoor Music Venue,,12/5/2024,12/27/2024
Advertising Sound Amplification,,2/27/2012,
Outdoor Music Venue,Mugshots,2/1/2010,
Outdoor Music Venue,Redrum Bar llc DBA Green Light Social,3/10/2021,5/7/2021
Outdoor Music Venue,THE PARK AT THE DOMAIN,7/11/2012,8/31/2012
Outdoor Music Venue,,2/22/2019,4/17/2019
Outdoor Music Venue,,11/22/2019,1/21/2020
Private Sound Amplification,"C3 Presents, LLC",2/8/2011,2/8/2011
Concrete Pouring,SJL CONST OF TX LTD,2/18/2014,2/18/2014
Concrete Pouring,Keystone Concrete Placement,2/7/2024,2/7/2024
Concrete Pouring,Capform Inc,12/12/2017,12/12/2017
Concrete Pouring,United Forming Inc,4/21/2014,4/21/2014
Outdoor Music Venue,,9/16/2013,10/31/2013
Concrete Pouring,JE Dunn Construction,2/23/2021,2/23/2021
Outdoor Music Venue,Jacoby Restaurant Group LLC,2/21/2020,4/2/2021
Concrete Pouring,Holder Construction Company,10/22/2019,10/22/2019
Advertising Sound Amplification,Lovely Austin Boutique,5/6/2010,5/6/2010
Private Sound Amplification,,5/3/2021,5/13/2021
Private Sound Amplification,Texas Public Policy Foundation,5/7/2014,
Advertising Sound Amplification,C3 Presents,2/13/2013,4/2/2013
Government Amplified Sound,Michael Ahern,2/25/2011,2/25/2011
Outdoor Music Venue,Parlor & Yard LLC,2/10/2022,3/7/2022
Advertising Sound Amplification,The Blackheart,7/2/2013,7/2/2013
Concrete Pouring,Holder Construction Company,6/17/2019,6/17/2019
Outdoor Music Venue,"Guero's Restaurant, Inc.",6/9/2016,7/21/2016
Private Sound Amplification,"IDEAL WHEELS, INC. DBA BUD'S MOTORCYCLE SHOP",4/10/2012,4/10/2012
Outdoor Music Venue,Parlor & Yard LLC,10/12/2018,1/29/2020
Outdoor Music Venue,,12/29/2015,2/13/2016
Concrete Pouring,Keystone Concrete Placement,6/9/2023,6/12/2023
Advertising Sound Amplification,InCharge Entertainment Marketing,3/8/2016,3/15/2016
Advertising Sound Amplification,Austin Police Community Liaison Corporation,5/6/2016,6/22/2016
Concrete Pouring,United Forming Inc,8/20/2014,8/20/2014
Outdoor Music Venue,ACL Live,4/8/2019,5/28/2019
Outdoor Music Venue,Belmont Austin Beverage Company LLC,1/25/2013,3/7/2013
Advertising Sound Amplification,C & J Ventures LLC,2/15/2013,4/2/2013
Concrete Pouring,Austin Commercial,5/10/2017,5/10/2017
Concrete Pouring,JE Dunn Construction,2/2/2016,2/2/2016
Concrete Pouring,DPR Construction,4/11/2014,4/11/2014
Concrete Pouring,Keystone Concrete Placement,7/14/2023,7/18/2023
Government Amplified Sound,St. Elias Orthodox Church,9/4/2015,10/14/2015
Advertising Sound Amplification,Equality Texas,1/11/2013,1/11/2013
Advertising Sound Amplification,Bounce Marketing and Events,11/10/2015,11/18/2015
Private Sound Amplification,The Electric Company,5/10/2011,5/10/2011
Advertising Sound Amplification,Enviromedia,2/21/2017,3/9/2017
Concrete Pouring,Tribble & Stephens Construction,7/16/2014,7/16/2014
Concrete Pouring,DPR Construction,4/28/2023,5/1/2023
Public Sound Amplification,,6/17/2011,6/17/2011
Concrete Pouring,DPR Construction,3/15/2024,3/15/2024
Advertising Sound Amplification,The Office Lounge,3/16/2010,
Concrete Pouring,Keystone Concrete Placement,8/7/2023,8/7/2023
Concrete Pouring,Ryan Companies US INC,7/1/2020,7/1/2020
Moving Vehicle,,12/4/2014,12/4/2014
Advertising Sound Amplification,Duty Now For The Future,1/24/2018,1/24/2018
Concrete Pouring,"Greystar Development & Construction, LP",7/25/2022,7/25/2022
Private Sound Amplification,Black and Brown Founders,3/9/2018,3/9/2018
Government Amplified Sound,Clink Events,9/6/2013,9/10/2013
Outdoor Music Venue,La Condesa / Malverde,6/12/2019,8/17/2019
Concrete Pouring,"Greystar Development & Construction, LP",10/11/2022,10/11/2022
Moving Vehicle,,3/5/2013,3/6/2013
Concrete Pouring,Beck Commercial Construction LLC,6/10/2015,
Advertising Sound Amplification,Cash America,3/3/2014,3/10/2014
Advertising Sound Amplification,Netspend Corporation,11/15/2016,11/15/2016
